url,to,redirectType,captureSplat,force,passSplat,Tagged?,Redirect done?
/housing_advice/eviction/what_to_say_if_your_landlord_turns_up_without_permission,3N1gk9fNVcf24jywPrHbxF,301,TRUE,TRUE,TRUE,Y,46TNPkXwpS8vA5T9rfZyyn
/housing_advice/eviction/harassment_by_a_private_landlord/understand_your_tenancy_rights,3NfhPCgVN9f4E94qGrWKNG,301,TRUE,TRUE,TRUE,Y,2lxNl7YV9iavAltP4GBMoY
/housing_advice/eviction/harassment_by_a_private_landlord/keep_a_record_of_harassment,2TYVOBOiUENJjSh2SPKKIu,301,TRUE,TRUE,TRUE,Y,5jHurbrM9W60F8co2xF6mx
/housing_advice/eviction/eviction_after_a_section_8_notice,5gerAEeflhmq8LyglgUtOU,301,TRUE,TRUE,TRUE,Y,
/housing_advice/eviction/eviction_after_a_section_8_notice/possession_grounds,6feoGee07GRd6K3VTBxEWB,301,TRUE,TRUE,TRUE,Y,
/housing_advice/eviction/eviction_after_a_section_8_notice/court_action,619ee1JT7VLZnsWso0Zi8S,301,TRUE,TRUE,TRUE,Y,
/housing_advice/eviction/eviction_after_a_section_8_notice/get_ready_for_court,18l4J40Wb40Iv0RMx6qzce,301,TRUE,TRUE,TRUE,Y,
/housing_advice/eviction/eviction_after_a_section_8_notice/court_hearing,75q1aQ5lCuUPp89yM3GD2P,301,TRUE,TRUE,TRUE,Y,
/housing_advice/repossession/when_your_tenancy_is_binding_on_the_landlords_mortgage_lender,4EBVqkv4jCO4T7hmZXZ1Aw,301,TRUE,TRUE,TRUE,Y,
/housing_advice/tenancy_deposits/tenancy_deposit_protection_rules,3AK0i4Bw6jVY9UklDCwaF2,301,TRUE,TRUE,TRUE,Y,
/housing_advice/tenancy_deposits/what_to_do_about_an_unprotected_tenancy_deposit,7CB4AD23gBvccWyUHCIdQB,301,TRUE,TRUE,TRUE,Y,
/housing_advice/tenancy_deposits/change_of_landlord_or_agent_what_happens_to_the_deposit,1ksobbHL0W1QOvlSMN5fPu,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement,3D7jTTqR13ZZGqy8L3QqsG,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement/landlord_tenant_and_property,3eoOlZcU4sBpNqppLkqeNa,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement/rent_bills_and_council_tax,4m1cXsctBLh400OmSEj7xr,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement/deposits_charges_and_fees,6II01afWjc9zWSZUBu9gAp,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement/fixed_terms_and_break_clauses,55jPdZqTyKaK6m5uSRI1sU,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_to_look_for_in_your_tenancy_agreement/tenant_responsibilities,1rXhfsmgEcArS2MqHXaLKs,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_tenancy_before_you_move_in,5CWxqVZNB6N5QJBt6bUl7Q,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_dss_discrimination,56CDQSSpLQ9gtXKjjpYVBa,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_dss_discrimination/viewing_request_letter_template,5hvohJsYH9g6VlwmCuugS9,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_dss_discrimination/formal_complaint_letter_template,5hvohJsYH9g6VlwmCuugS9,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_discrimination_when_renting_with_children,63Zyec7o7hmSlxYcWSORXV,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_discrimination_when_renting_with_children/looking_for_family_home_letter_template,5hvohJsYH9g6VlwmCuugS9,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_challenge_discrimination_when_renting_with_children/formal_complaint_letter_template,5hvohJsYH9g6VlwmCuugS9,301,TRUE,TRUE,TRUE,Y,
/housing_advice/downloads_and_tools/tenancy_checker,5BjaI3sMvzEGGpNyN5BKQT,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/occupiers_with_basic_protection,1EfP5H2PxiMaTgHln5uXte,301,TRUE,TRUE,TRUE,Y,1Kt2xWkobkXVqj7o2kgX7G
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early,6CkDvJKpfxMDE9HI1u4dtT,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early/speak_to_other_joint_tenants,4RZJxOmewBIyy9hByq0Xp7,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early/use_a_break_clause,6CkDvJKpfxMDE9HI1u4dtT,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early/negotiate_with_your_landlord,4aNWhli9BhyBLWHNj0tbTx,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early/right_to_unwind,37KlcPYL2dk0YBD3qTRSqb,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/how_to_end_a_fixed_term_tenancy_early/options_if_you_cant_get_out_of_your_contract,1vBa5somAMwDUsvsiw5OvR,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/private_rented_housing_for_students,7BBbQ2ugRifsH40vdmQd4E,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/renting_as_a_property_guardian,7cbPBe7HlFeMzWUSgfU0Df,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/tenancy_agreements_in_shared_homes,2QSHlbrcgZX9LDbarCya5h,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/tenancy_rights_if_your_landlord_sells_your_home,3H29LPCSpELYkMJcG4kAwW,301,TRUE,TRUE,TRUE,Y,
/housing_advice/private_renting/what_happens_if_you_dont_end_your_tenancy_legally,,,,,,N,On bold
